country,iso3,source_age_group,target_age_group,contacts_per_day,source,source_type
New_Zealand,NZL,child_1_6y,school_7_17y,3.169636,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
New_Zealand,NZL,child_1_6y,adult_18plus,7.297836,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
New_Zealand,NZL,school_7_17y,infant_0_2m,0.03349,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
New_Zealand,NZL,school_7_17y,infant_3_11m,0.100469,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
New_Zealand,NZL,school_7_17y,child_1_6y,1.574558,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
New_Zealand,NZL,school_7_17y,school_7_17y,9.867178,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
New_Zealand,NZL,school_7_17y,adult_18plus,8.9766,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
New_Zealand,NZL,adult_18plus,infant_0_2m,0.02642,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
New_Zealand,NZL,adult_18plus,infant_3_11m,0.079261,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
New_Zealand,NZL,adult_18plus,child_1_6y,0.647633,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
New_Zealand,NZL,adult_18plus,school_7_17y,1.603606,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
New_Zealand,NZL,adult_18plus,adult_18plus,10.505198,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Sweden,SWE,infant_0_2m,infant_0_2m,0.136392,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Sweden,SWE,infant_0_2m,infant_3_11m,0.409177,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Sweden,SWE,infant_0_2m,child_1_6y,3.007193,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Sweden,SWE,infant_0_2m,school_7_17y,1.518142,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Sweden,SWE,infant_0_2m,adult_18plus,7.002425,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Sweden,SWE,infant_3_11m,infant_0_2m,0.136392,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Sweden,SWE,infant_3_11m,infant_3_11m,0.409177,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Sweden,SWE,infant_3_11m,child_1_6y,3.007193,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Sweden,SWE,infant_3_11m,school_7_17y,1.518142,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Sweden,SWE,infant_3_11m,adult_18plus,7.002425,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Sweden,SWE,child_1_6y,infant_0_2m,0.106896,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Sweden,SWE,child_1_6y,infant_3_11m,0.320687,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Sweden,SWE,child_1_6y,child_1_6y,3.16964,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Sweden,SWE,child_1_6y,school_7_17y,3.073691,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Sweden,SWE,child_1_6y,adult_18plus,6.977675,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Sweden,SWE,school_7_17y,infant_0_2m,0.02693,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Sweden,SWE,school_7_17y,infant_3_11m,0.080789,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Sweden,SWE,school_7_17y,child_1_6y,1.533838,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Sweden,SWE,school_7_17y,school_7_17y,9.577031,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Sweden,SWE,school_7_17y,adult_18plus,8.577074,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Sweden,SWE,adult_18plus,infant_0_2m,0.020445,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Sweden,SWE,adult_18plus,infant_3_11m,0.061336,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Sweden,SWE,adult_18plus,child_1_6y,0.573132,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Sweden,SWE,adult_18plus,school_7_17y,1.41177,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Sweden,SWE,adult_18plus,adult_18plus,10.31967,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_States,USA,infant_0_2m,infant_0_2m,0.11041,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_States,USA,infant_0_2m,infant_3_11m,0.331231,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_States,USA,infant_0_2m,child_1_6y,2.279302,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
