country,log_beta_S,beta_S,log_posterior,log_posterior_raw,posterior_weight,grid_half_width,grid_points,grid_tail_drop_target,grid_min_effective_points_target,grid_max_single_weight_target,grid_left_edge_drop,grid_right_edge_drop,grid_min_edge_drop,grid_effective_points,grid_max_weight,grid_smoothing
Brazil,-4.705832934201772,0.009042379373278118,-3253.186848809766,-3258.3504126439957,0.006072368641522282,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.705800317336771,0.009042674312155389,-3252.7565727030997,-3261.7151707008143,0.009337372134748733,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.705767700471769,0.009042969260652805,-3252.524292931064,-3258.936301414946,0.011778839143413843,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.705735083606768,0.009043264218770665,-3252.3907503242845,-3257.0148701960075,0.013461681410150002,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.7057024667417675,0.00904355918650929,-3252.576237465153,-3254.2070379610777,0.011182612253314156,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.705669849876767,0.009043854163868997,-3252.4847211430097,-3257.294331249641,0.012254294129143355,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.705637233011765,0.009044149150850105,-3252.6894594599444,-3252.3265804485077,0.009985540531812508,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.705604616146764,0.009044444147452911,-3252.902085969262,-3254.9115287659642,0.008072890450577503,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.705571999281763,0.00904473915367774,-3252.790507722536,-3255.329212076317,0.00902582431774133,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.705539382416762,0.009045034169524905,-3252.109293065674,-3255.4211214496727,0.01783752695698991,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.70550676555176,0.009045329194994725,-3251.780434940451,-3257.6895963775282,0.02478311610937858,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.7054741486867595,0.0090456242300875,-3251.612641052381,-3258.9581341872126,0.02931081344075009,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.705441531821759,0.009045919274803553,-3251.677948408926,-3256.9654039961806,0.02745776897837263,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.705408914956758,0.009046214329143196,-3251.602144784588,-3257.044193321495,0.029620087862003725,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
