country,outcome,parameter_variance,stochastic_variance,total_variance,parameter_variance_share
Thailand,total_infant_cases,1049846344.1086862,9233479355.134056,10283325699.242743,0.1020921027704098
Thailand,total_infant_infections,4236315346.528923,33740934684.105873,37977250030.634796,0.11154876519789214
Thailand,resistant_infections,473760801226428.06,59479406639652.59,533240207866080.6,0.8884566359358438
United_Kingdom,annualized_infections_per_100k,48851.378716885854,2894976.026874925,2943827.405591811,0.016594511833164023
United_Kingdom,annualized_reported_cases_per_100k,180.31834135622583,1731.3247822418157,1911.6431235980415,0.09432636203395312
United_Kingdom,annualized_infant_cases_per_100k,67642.62618166946,2319387.1469189427,2387029.773100612,0.02833757121253064
United_Kingdom,annualized_infant_infections_per_100k,185715.40733672224,9558934.055245643,9744649.462582367,0.019058192708710016
United_Kingdom,total_infections,18695075516235.73,1037993127208056.4,1056688202724292.1,0.017692139902799307
United_Kingdom,total_reported_cases,60227731926.754524,616358756185.3495,676586488112.104,0.08901704805664898
United_Kingdom,total_infant_cases,1590261155.2299585,73606587900.86351,75196849056.09348,0.021147975948349846
United_Kingdom,total_infant_infections,6014700814.531158,302941123580.097,308955824394.6282,0.01946783436213393
United_Kingdom,resistant_infections,11696006721774.377,917920903833117.0,929616910554891.4,0.012581533951219748
United_States,annualized_infections_per_100k,108672.1507997451,25695.263310641443,134367.41411038654,0.808768640218587
United_States,annualized_reported_cases_per_100k,3.824456675687,0.7950227823958533,4.6194794580828535,0.8278977556649211
United_States,annualized_infant_cases_per_100k,22327.63263750946,4835.548816943847,27163.181454453308,0.8219815000296633
United_States,annualized_infant_infections_per_100k,99711.14066896522,21042.54378857561,120753.68445754083,0.8257399442252668
United_States,total_infections,954598843123431.2,230138882930911.8,1184737726054343.0,0.8057469785339177
